date,close
03/01/2006,47.58
04/01/2006,47.25
05/01/2006,47.65
06/01/2006,47.87
09/01/2006,47.08
10/01/2006,45.65
11/01/2006,44.93
12/01/2006,44.36
13/01/2006,44.4
17/01/2006,44.0
18/01/2006,44.32
19/01/2006,44.45
20/01/2006,43.92
23/01/2006,43.73
24/01/2006,44.02
25/01/2006,43.6
26/01/2006,44.68
27/01/2006,45.22
30/01/2006,44.96
31/01/2006,44.82
01/02/2006,43.98
02/02/2006,42.74
03/02/2006,38.33
06/02/2006,37.95
07/02/2006,37.52
08/02/2006,38.17
09/02/2006,37.99
10/02/2006,38.52
13/02/2006,37.86
14/02/2006,38.25
15/02/2006,39.26
16/02/2006,39.15
17/02/2006,39.19
21/02/2006,38.29
22/02/2006,38.72
23/02/2006,37.9
24/02/2006,38.35
27/02/2006,38.01
28/02/2006,37.44
01/03/2006,37.12
02/03/2006,36.88
03/03/2006,37.21
06/03/2006,36.86
07/03/2006,36.93
08/03/2006,36.81
09/03/2006,36.12
10/03/2006,36.22
13/03/2006,36.19
14/03/2006,36.91
15/03/2006,36.89
16/03/2006,36.77
17/03/2006,35.99
20/03/2006,36.23
21/03/2006,35.92
22/03/2006,36.0
23/03/2006,35.68
24/03/2006,35.47
27/03/2006,35.25
28/03/2006,35.69
29/03/2006,36.32
30/03/2006,36.67
31/03/2006,36.53
03/04/2006,36.14
04/04/2006,36.77
05/04/2006,37.34
06/04/2006,38.51
07/04/2006,37.09
10/04/2006,36.61
11/04/2006,36.06
12/04/2006,36.13
13/04/2006,36.62
17/04/2006,35.27
18/04/2006,36.28
19/04/2006,36.89
20/04/2006,36.34
21/04/2006,36.03
24/04/2006,35.79
25/04/2006,35.55
26/04/2006,35.79
27/04/2006,35.74
28/04/2006,35.21
01/05/2006,34.59
02/05/2006,34.38
03/05/2006,33.96
04/05/2006,34.47
05/05/2006,35.04
08/05/2006,34.69
09/05/2006,34.84
10/05/2006,34.16
11/05/2006,33.53
12/05/2006,32.73
15/05/2006,32.78
16/05/2006,32.76
17/05/2006,31.61
18/05/2006,32.61
19/05/2006,33.94
22/05/2006,34.83
23/05/2006,33.76
24/05/2006,35.19
25/05/2006,35.63
26/05/2006,36.07
30/05/2006,34.64
31/05/2006,34.61
01/06/2006,35.07
02/06/2006,34.76
05/06/2006,33.49
06/06/2006,33.41
07/06/2006,33.77
08/06/2006,33.55
09/06/2006,33.78
12/06/2006,33.6
13/06/2006,33.47
14/06/2006,33.68
15/06/2006,34.96
16/06/2006,35.09
19/06/2006,35.07
20/06/2006,35.48
21/06/2006,36.65
22/06/2006,36.37
23/06/2006,36.55
26/06/2006,36.77
27/06/2006,36.48
28/06/2006,36.7
29/06/2006,38.52
30/06/2006,38.68
03/07/2006,38.61
05/07/2006,37.11
06/07/2006,36.8
07/07/2006,36.11
10/07/2006,35.79
11/07/2006,35.66
12/07/2006,34.63
13/07/2006,33.73
14/07/2006,32.92
17/07/2006,33.67
18/07/2006,33.49
19/07/2006,34.48
20/07/2006,34.18
21/07/2006,33.19
24/07/2006,34.31
25/07/2006,33.59
26/07/2006,26.26
27/07/2006,26.56
28/07/2006,27.17
31/07/2006,26.89
01/08/2006,26.32
02/08/2006,26.09
03/08/2006,26.69
04/08/2006,27.29
07/08/2006,26.78
08/08/2006,26.36
09/08/2006,26.21
10/08/2006,26.49
11/08/2006,26.07
14/08/2006,26.53
15/08/2006,27.77
16/08/2006,27.95
17/08/2006,29.09
18/08/2006,29.12
21/08/2006,28.13
22/08/2006,28.37
23/08/2006,28.14
24/08/2006,27.97
25/08/2006,28.03
28/08/2006,28.91
29/08/2006,29.52
30/08/2006,30.67
31/08/2006,30.83
01/09/2006,31.76
05/09/2006,32.23
06/09/2006,30.8
07/09/2006,29.73
08/09/2006,30.51
11/09/2006,30.79
12/09/2006,31.72
13/09/2006,31.67
14/09/2006,31.65
15/09/2006,32.52
18/09/2006,32.08
19/09/2006,31.58
20/09/2006,32.12
21/09/2006,30.22
22/09/2006,30.84
25/09/2006,31.79
26/09/2006,32.5
27/09/2006,32.33
28/09/2006,31.84
29/09/2006,32.12
02/10/2006,30.87
03/10/2006,31.7
04/10/2006,32.76
05/10/2006,33.32
06/10/2006,32.59
09/10/2006,33.38
10/10/2006,32.62
11/10/2006,32.91
12/10/2006,33.55
13/10/2006,33.32
16/10/2006,32.6
17/10/2006,32.47
18/10/2006,32.31
19/10/2006,32.54
20/10/2006,32.57
